season,week,player_display_name,team_abbr,avg_time_to_throw,completion_percentage_above_expectation,aggressiveness
2026,0,Jacoby Brissett,ARI,2.5579729729729728,7.66891891891891,21.62162162162162
2026,0,C.J. Stroud,HOU,2.7871315789473683,8.586842105263159,21.052631578947366
2026,0,Aaron Rodgers,PIT,2.950825,-0.8077500000000071,15
2026,0,Bryce Young,CAR,3.024945945945946,4.671621621621624,16.216216216216218
2026,0,Trevor Lawrence,JAX,2.981086956521739,16.185217391304352,13.043478260869565
2026,0,Caleb Williams,CHI,3.1567586206896547,11.416551724137936,13.793103448275861
2026,0,Patrick Mahomes,KC,2.2705185185185184,-12.30888888888888,3.7037037037037033
2026,0,Justin Herbert,LAC,2.7349629629629626,-1.4029629629629503,18.51851851851852
2026,0,Baker Mayfield,TB,2.883642857142857,15.406071428571433,10.714285714285714
2026,0,Jaxson Dart,NYG,2.6393793103448275,10.925172413793105,17.24137931034483
2026,0,Deshaun Watson,CLE,3.0432272727272722,3.5577272727272735,13.636363636363635
2026,0,Geno Smith,NYJ,3.0422499999999997,9.367916666666664,12.5
2026,0,Drake Maye,NE,2.82269696969697,3.1512121212121214,6.0606060606060606
2026,0,Tyler Shough,NO,2.602472727272727,-0.47517857142856945,14.285714285714285
2026,0,Kirk Cousins,LV,2.8969666666666667,3.8806666666666656,10
2026,0,Carson Wentz,MIN,2.7576842105263157,-6.702631578947371,10.526315789473683
2026,0,Malik Willis,MIA,3.2108148148148152,-0.3970370370370402,22.22222222222222
2026,0,Jared Goff,DET,2.6585384615384617,-3.1907692307692304,15.384615384615385
2026,0,Jalen Hurts,PHI,3.2637599999999996,-2.1448000000000023,8
2026,0,Lamar Jackson,BAL,3.3038749999999997,6.38240000000001,16
2026,0,Bo Nix,DEN,2.983678571428572,-9.097857142857146,10.714285714285714
2026,0,Cooper Rush,ATL,2.653181818181818,-13.668181818181823,4.545454545454546
2026,0,Jayden Daniels,WAS,3.414794117647059,-4.784999999999995,14.705882352941178
2026,0,Brock Purdy,SF,2.6883235294117647,7.401176470588244,17.647058823529413
2026,0,Jordan Love,GB,2.561642857142857,-9.024285714285707,9.523809523809524
2026,0,Cam Ward,TEN,2.9029375,-5.584062499999998,6.25
2026,0,Josh Allen,BUF,3.114103448275862,9.670000000000012,6.896551724137931
2026,0,Drew Lock,SEA,2.769409090909091,5.007727272727269,13.636363636363635
2026,0,Dak Prescott,DAL,2.7466470588235294,4.752058823529415,14.705882352941178
2026,0,Joe Burrow,CIN,2.541857142857143,5.241142857142855,14.285714285714285
2026,0,Daniel Jones,IND,2.843903225806452,-2.4306451612903235,12.903225806451612
2026,0,Matthew Stafford,LAR,2.86504,2.5324000000000013,20
2026,1,Jalen Hurts,PHI,3.2637599999999996,-2.1448000000000023,8
2026,1,Cam Ward,TEN,2.9029375,-5.584062499999998,6.25
2026,1,Carson Wentz,MIN,2.7576842105263157,-6.702631578947371,10.526315789473683
2026,1,Jayden Daniels,WAS,3.414794117647059,-4.784999999999995,14.705882352941178
2026,1,Caleb Williams,CHI,3.1567586206896547,11.416551724137936,13.793103448275861
2026,1,Patrick Mahomes,KC,2.2705185185185184,-12.30888888888888,3.7037037037037033
2026,1,Jacoby Brissett,ARI,2.5579729729729728,7.66891891891891,21.62162162162162
2026,1,Drake Maye,NE,2.82269696969697,3.1512121212121214,6.0606060606060606
2026,1,Lamar Jackson,BAL,3.3038749999999997,6.38240000000001,16
2026,1,Dak Prescott,DAL,2.7466470588235294,4.752058823529415,14.705882352941178
2026,1,Joe Burrow,CIN,2.541857142857143,5.241142857142855,14.285714285714285
2026,1,C.J. Stroud,HOU,2.7871315789473683,8.586842105263159,21.052631578947366
2026,1,Cooper Rush,ATL,2.653181818181818,-13.668181818181823,4.545454545454546
2026,1,Bryce Young,CAR,3.024945945945946,4.671621621621624,16.216216216216218
2026,1,Josh Allen,BUF,3.114103448275862,9.670000000000012,6.896551724137931
2026,1,Brock Purdy,SF,2.6883235294117647,7.401176470588244,17.647058823529413
2026,1,Jared Goff,DET,2.6585384615384617,-3.1907692307692304,15.384615384615385
2026,1,Deshaun Watson,CLE,3.0432272727272722,3.5577272727272735,13.636363636363635
2026,1,Kirk Cousins,LV,2.8969666666666667,3.8806666666666656,10
2026,1,Justin Herbert,LAC,2.7349629629629626,-1.4029629629629503,18.51851851851852
2026,1,Baker Mayfield,TB,2.883642857142857,15.406071428571433,10.714285714285714
2026,1,Aaron Rodgers,PIT,2.950825,-0.8077500000000071,15
2026,1,Bo Nix,DEN,2.983678571428572,-9.097857142857146,10.714285714285714
2026,1,Tyler Shough,NO,2.602472727272727,-0.47517857142856945,14.285714285714285
2026,1,Jordan Love,GB,2.561642857142857,-9.024285714285707,9.523809523809524
2026,1,Geno Smith,NYJ,3.0422499999999997,9.367916666666664,12.5
2026,1,Matthew Stafford,LAR,2.86504,2.5324000000000013,20
2026,1,Jaxson Dart,NYG,2.6393793103448275,10.925172413793105,17.24137931034483
2026,1,Drew Lock,SEA,2.769409090909091,5.007727272727269,13.636363636363635
2026,1,Malik Willis,MIA,3.2108148148148152,-0.3970370370370402,22.22222222222222
2026,1,Trevor Lawrence,JAX,2.981086956521739,16.185217391304352,13.043478260869565
2026,1,Daniel Jones,IND,2.843903225806452,-2.4306451612903235,12.903225806451612
